1,#41cb59
2,#41cb59
3,#41cb59
4,#41cb59
5,#3fcc4b
6,#3fcc4b
7,#3fcc4b
8,#3fcc4b
9,#3ece3d
10,#3ece3d
11,#3ece3d
12,#3ece3d
13,#4acf3b
14,#4acf3b
15,#4acf3b
16,#4acf3b
17,#56d03a
18,#56d03a
19,#56d03a
20,#56d03a
21,#63d138
22,#63d138
23,#63d138
24,#63d138
25,#70d336
26,#70d336
27,#70d336
28,#70d336
29,#7ed434
30,#7ed434
31,#7ed434
32,#7ed434
33,#8cd532
34,#8cd532
35,#8cd532
36,#8cd532
37,#9bd630
38,#9bd630
39,#9bd630
40,#9bd630
41,#aad82e
42,#aad82e
43,#aad82e
44,#aad82e
45,#bad92c
46,#bad92c
47,#bad92c
48,#bad92c
49,#cbda2b
50,#cbda2b
51,#cbda2b
52,#cbda2b
53,#dcdb29
54,#dcdb29
55,#dcdb29
56,#dcdb29
57,#ddcc27
58,#ddcc27
59,#ddcc27
60,#ddcc27
61,#debc25
62,#debc25
63,#debc25
64,#debc25
65,#e0ac23
66,#e0ac23
67,#e0ac23
68,#e0ac23
69,#e19b21
70,#e19b21
71,#e19b21
72,#e19b21
73,#e3891f
74,#e3891f
75,#e3891f
76,#e3891f
77,#e4771d
78,#e4771d
79,#e4771d
80,#e4771d
81,#e5641b
82,#e5641b
83,#e5641b
84,#e5641b
85,#e75119
86,#e75119
87,#e75119
88,#e75119
89,#e83d17
90,#e83d17
91,#e83d17
92,#e83d17
93,#e92915
94,#e92915
95,#e92915
96,#e92915
97,#ea1414
98,#ea1414
99,#ea1414
100,#ea1414
